Event ID,Event Name,Date,Location,Organizer,Attendees,Registration Fee,Tickets Sold,Event Status,Event Duration (days),Ticket Categories,Revenue,Expenses,Profit/Loss,Ratings
E0001,Future-proofed incremental implementation,2023-08-29,Normanhaven,"Johnson, Miller and Martin",752,69,732,Upcoming,4,"VIP, General",50508,13483,37025,4.0
E0002,Front-line bandwidth-monitored monitoring,2023-10-08,Cassandraside,Conway Inc,124,74,760,Ongoing,2,General,56240,7441,48799,3.8
E0003,Ergonomic systematic challenge,2023-08-20,Jasonland,Hartman-Yoder,753,28,83,Completed,2,VIP,2324,13399,-11075,4.9
E0004,Fundamental logistical array,2023-10-16,Lake Brooke,"Ingram, Tucker and Palmer",533,88,161,Completed,2,General,14168,18158,-3990,3.8
E0005,Distributed stable superstructure,2023-08-19,East Garymouth,Williams Group,198,62,526,Upcoming,1,"VIP, General",32612,18024,14588,3.1
E0006,Secured bi-directional emulation,2023-08-20,Pattersonview,Zavala and Sons,330,64,713,Ongoing,5,General,45632,14409,31223,4.6
E0007,User-centric executive leverage,2023-09-30,South Mackenzie,"Mason, Cervantes and Hunter",958,20,262,Completed,4,VIP,5240,16985,-11745,4.7
E0008,Business-focused intermediate conglomeration,2023-10-07,Davidberg,Smith-Marshall,247,50,534,Ongoing,5,"VIP, General",26700,19836,6864,5.0
E0009,Mandatory client-driven product,2023-09-02,West Courtney,"Russell, Harris and Strickland",326,45,344,Upcoming,3,General,15480,13893,1587,5.0
E0010,Future-proofed modular neural-net,2023-09-16,Butlerberg,Ramos Ltd,702,29,194,Completed,2,VIP,5626,5206,420,3.1
E0011,Reduced full-range portal,2023-08-19,Port Michelle,Nguyen-Smith,944,31,155,Upcoming,5,"VIP, General",4805,13292,-8487,4.0
E0012,Public-key modular secured line,2023-08-23,East Joseph,Contreras Group,350,59,831,Ongoing,2,General,49029,10828,38201,4.8
E0013,Compatible mobile access,2023-09-07,Rebeccahaven,Young-Quinn,905,50,770,Completed,2,VIP,38500,15844,22656,4.7
E0014,Triple-buffered clear-thinking interface,2023-08-27,Christophertown,Jenkins Group,621,42,241,Completed,5,General,10122,14896,-4774,3.1
